enuntiabilis, enuntiabilis
episcopalis, episcopalis
epistolaris, epistolaris
epistularis, epistularis
equester, equestris
equestr, equestris
eremitis, eremidis
erilis, erilis
essentialis, essentialis
essuriens, essurientis
estuans, estuantis
esuriens, esurientis
eucharis, eucharis
euhans, euhantis
eutyches, eutychetis
evans, evantis
evidens, evidentis
evitabilis, evitabilis
exanimalis, exanimalis
exanimis, exanimis
exaudibilis, exaudibilis
exaudiens, exaudientis
excellens, excellentis
exceptionalis, exceptionalis
excors, excordis
excusabilis, excusabilis
execrabilis, execrabilis
execribilis, execribilis
exemplabilis, exemplabilis
exemplaris, exemplaris
exequialis, exequialis
exercitrix, exercitricis
exercitualis, exercitualis
exheres, exheredis
exilis, exilis
existentialis, existentialis
exitiabilis, exitiabilis
exitialis, exitialis
exlex, exlegis
exorabilis, exorabilis
exors, exortis
exos, exosis
experiens, experientis
experimentalis, experimentalis
expers, expertis
exponentialis, exponentialis
exprobrabilis, exprobrabilis
expugnabilis, expugnabilis
expugnax, expugnacis
exsanguis, exsanguis
exsaturabilis, exsaturabilis
exsecrabilis, exsecrabilis
exsecribilis, exsecribilis
exsequialis, exsequialis
exsomnis, exsomnis
exsors, exsortis
exsultabilis, exsultabilis
exsuperabilis, exsuperabilis
extemporalis, extemporalis
extorris, extorris
extrajudicialis, extrajudicialis
extrasacramentalis, extrasacramentalis
exuperabilis, exuperabilis
fabrilis, fabrilis
facialis, facialis
facilis, facilis
faenebris, faenebris
fallax, fallacis
famigerabilis, famigerabilis
familialis, familialis
familiaris, familiaris
famularis, famularis
fatalis, fatalis
favorabilis, favorabilis
felix, felicis
feralis, feralis
ferax, feracis
ferialis, ferialis
ferox, ferocis
ferratilis, ferratilis
fertilis, fertilis
fervens, ferventis
fetialis, fetialis
fictilis, fictilis
fidelis, fidelis
fidens, fidentis
filiformis, filiformis
finalis, finalis
fiscalis, fiscalis
fissilis, fissilis
flagrans, flagrantis
flandrensis, flandrensis
flatilis, flatilis
flebilis, flebilis
flexibilis, flexibilis
flexilis, flexilis
flexipes, flexipedis
florens, florentis
fluorescens, fluorescentis
fluvialis, fluvialis
fluviatilis, fluviatilis
fluxilis, fluxilis
foederalis, foederalis
fontalis, fontalis
forabilis, forabilis
forensis, forensis
formabilis, formabilis
formalis, formalis
formidabilis, formidabilis
fortis, fortis
fossilis, fossilis
fragilis, fragilis
fraglans, fraglantis
frequens, frequentis
frugalis, frugalis
frugiferens, frugiferentis
fugax, fugacis
fulgens, fulgentis
fumigans, fumigantis
functionalis, functionalis
funebris, funebris
furax, furacis
furialis, furialis
fusiformis, fusiformis
fusilis, fusilis
futilis, futilis
futtilis, futtilis
gasalis, gasalis
gehennalis, gehennalis
generalis, generalis
genialis, genialis
genitalis, genitalis
gentilis, gentilis
germinalis, germinalis
glacialis, glacialis
globalis, globalis
gracilis, gracilis
gradalis, gradalis
gradualis, gradualis
grandis, grandis
graveolens, graveolentis
gravis, gravis
gregalis, gregalis
gremialis, gremialis
gutturalis, gutturalis
habilis, habilis
habitabilis, habitabilis
habitualis, habitualis
habitudinalis, habitudinalis
harpax, harpacis
hastilis, hastilis
havens, haventis
hebes, hebetis
Hebraicis, Hebraicis
herbipotens, herbipotentis
heterosexualis, heterosexualis
hibernalis, hibernalis
hiemalis, hiemalis
hiemans, hiemantis
hilaris, hilaris
Hipponensis, Hipponensis
historialis, historialis
homosexualis, homosexualis
honorabilis, honorabilis
horalis, horalis
horizontalis, horizontalis
horribilis, horribilis
hortensis, hortensis
hospes, hospitis
hospitalis, hospitalis
hostilis, hostilis
humens, humentis
humilis, humilis
hybernalis, hybernalis
idololatrix, idololatricis
iens, euntis
ignipes, ignipedis
ignipotens, ignipotentis
ignobilis, ignobilis
ignorans, ignorantis
illacrimabilis, illacrimabilis
illaetabilis, illaetabilis
illegalis, illegalis
illex, illegis
illex, illicis
illiberalis, illiberalis
illustris, illustris
imbecillis, imbecillis
imbellis, imbellis
imberbis, imberbis
imitabilis, imitabilis
immaculabilis, immaculabilis
immanis, immanis
immarcescibilis, immarcescibilis
immaterialis, immaterialis
immedicabilis, immedicabilis
immemor, immemoris
immemorabilis, immemorabilis
immensurabilis, immensurabilis
immerens, immerentis
immersabilis, immersabilis
immiserabilis, immiserabilis
immisericors, immisericordis
immitis, immitis
immobilis, immobilis
immortalis, immortalis
immunis, immunis
immutabilis, immutabilis
impar, imparis
impassibilis, impassibilis
impatiens, impatientis
impenetrabilis, impenetrabilis
imperceptibilis, imperceptibilis
imperialis, imperialis
impermutabilis, impermutabilis
imperscrutabilis, imperscrutabilis
impersonalis, impersonalis
imperturbabilis, imperturbabilis
impetibilis, impetibilis
impetrabilis, impetrabilis
implacabilis, implacabilis
implumis, implumis
impos, impotis
impossibilis, impossibilis
impotens, impotentis
improportionabilis, improportionabilis
imprudens, imprudentis
impubes, impuberis
impubis, impubis
impudens, impudentis
impunis, impunis
imputabilis, imputabilis
imputribilis, imputribilis
inaccessibilis, inaccessibilis
inaequabilis, inaequabilis
inaequalis, inaequalis
inaestimabilis, inaestimabilis
inamabilis, inamabilis
inanimans, inanimantis
inanimis, inanimis
inanis, inanis
inartificialis, inartificialis
inauguralis, inauguralis
inbecillis, inbecillis
inbellis, inbellis
incapabilis, incapabilis
incapax, incapaxis
incapiabilis, incapiabilis
inceleber, incelebris
incessabilis, incessabilis
incidens, incidentis
incidentalis, incidentalis
inciens, incientis
incilis, incilis
incircumscriptibilis, incircumscriptibilis
incivilis, incivilis
inclemens, inclementis
incogitabilis, incogitabilis
incogitans, incogitantis
incolomis, incolomis
incolumis, incolumis
incommensurabilis, incommensurabilis
incommutabilis, incommutabilis
incomparabilis, incomparabilis
incompatibilis, incompatibilis
incompetens, incompetentis
incomprehensibilis, incomprehensibilis
inconfusibilis, inconfusibilis
incongruens, incongruentis
inconruptibilis, inconruptibilis
inconsequens, inconsequentis
inconstabilis, inconstabilis
inconstans, inconstantis
inconsummabilis, inconsummabilis
incontaminabilis, incontaminabilis
incontinens, incontinentis
inconveniens, inconvenientis
incorporalis, incorporalis
incorrigibilis, incorrigibilis
incorruptibilis, incorruptibilis
incredibilis, incredibilis
incunctabilis, incunctabilis
indecens, indecentis
indecor, indecoris
indecoris, indecoris
indeficiens, indeficientis
indelebilis, indelebilis
indemnis, indemnis
indemutabilis, indemutabilis
independens, independentis
indifferens, indifferentis
indigens, indigentis
indiges, indigis
indiligens, indiligentis
indissimilis, indissimilis
indissolubilis, indissolubilis
indistinguibilis, indistinguibilis
individualis, individualis
indivisibilis, indivisibilis
indocilis, indocilis
indomabilis, indomabilis
indubitabilis, indubitabilis
indulgens, indulgentis
industrialis, industrialis
inedicabilis, inedicabilis
inedicibilis, inedicibilis
ineffabilis, ineffabilis
inefficax, inefficacis
inelegans, inelegantis
ineluctabilis, ineluctabilis
inemendabilis, inemendabilis
inenarrabilis, inenarrabilis
inermis, inermis
