adversus|adversus : prep with acc
adversus|adversus, adversa, adversum : a
adverto|adverto_, advertere, adverti_, adversum : v3
advesperascit|advespera_scit, advespera_scere, advespera_vit : v3 impers
advigilo|advigilo_, advigila_re, advigila_vi_, advigila_tum : v1
advocatio|advoca_tio_, advoca_tio_nis : f
advocatus|advoca_tus, advoca_ti_ : m
advoco|advoco_, advoca_re, advoca_vi_, advoca_tum : v1
advolo|advolo_, advola_re, advola_vi_, advola_tum : v1
advolvo|advolvo_, advolvere, advolvi_, advolu_tum : v3
adytum|adytum, adyti_ : n
aedes|aede_s, aedis : f
aedicula|aedicula, aediculae : f
aedificatio|aedifica_tio_, aedifica_tio_nis : f
aedificator|aedifica_tor, aedifica_to_ris : m
aedificium|aedificium, aedific(i)i_ : n
aedifico|aedifico_, aedifica_re, aedifica_vi_, aedifica_tum : v1
aedilicius|aedi_licius, aedi_licia, aedi_licium : a
aedilis|aedi_lis, aedi_lis : m
aedilitas|aedi_lita_s, aedi_lita_tis : f
aedis|aedis, aedis : f
aeditumus|aeditumus, aeditumi_ : m
aedituus|aedituus, aeditui_ : m
aeger|aeger, aegra, aegrum : a
aegis|aegis, aegidis : f
aegre|aegre_ : adv
aegresco|aegre_sco_, aegre_scere : v3
aegrimonia|aegrimo_nia, aegrimo_niae : f
aegritudo|aegritu_do_, aegritu_dinis : f
aegrotatio|aegro_ta_tio_, aegro_ta_tio_nis : f
aegroto|aegro_to_, aegro_ta_re, aegro_ta_vi_, aegro_ta_tum : v1
aegrotus|aegro_tus, aegro_ta, aegro_tum : a
aemulatio|aemula_tio_, aemula_tio_nis : f
aemulator|aemula_tor, aemula_to_ris : m
aemulatus|aemula_tus, aemula_tu_s : m
aemulor|aemulor, aemula_ri_, aemula_tus sum : v1 dep
aemulus|aemulus, aemuli_ : m
aemulus|aemulus, aemula, aemulum : a
aeneus|ae_neus, ae_nea, ae_neum : a
aenigma|aenigma, aenigmatis : n
aenus|ae_nus, ae_na, ae_num : a
aequabilis|aequa_bilis, aequa_bile : a
aequabilitas|aequa_bilita_s, aequa_bilita_tis : f
aequabiliter|aequa_biliter : adv
aequaevus|aequaevus, aequaeva, aequaevum : a
aequalis|aequa_lis, aequa_lis : m/f
aequalis|aequa_lis, aequa_le : a
aequalitas|aequa_lita_s, aequa_lita_tis : f
aequaliter|aequa_liter : adv
aequanimitas|aequanimita_s, aequanimita_tis : f
aequatio|aequa_tio_, aequa_tio_nis : f
aeque|aeque_ : adv
aequinoctialis|aequinoctia_lis, aequinoctia_le : a
aequinoctium|aequinoctium, aequinoct(i)i_ : n
aequipero|aequipero_, aequipera_re, aequipera_vi_, aequipera_tum : v1
aequitas|aequita_s, aequita_tis : f
aequo|aequo_, aequa_re, aequa_vi_, aequa_tum : v1
aequor|aequor, aequoris : n
aequoreus|aequoreus, aequorea, aequoreum : a
aequus|aequus, aequa, aequum : a
aer|a_e_r, a_eris : m
aerarium|aera_rium, aera_r(i)i_ : n
aerarius|aera_rius, aera_r(i)i_ : m
aerarius|aera_rius, aera_ria, aera_rium : a
aeratus|aera_tus, aera_ta, aera_tum : a
aereus|aereus, aerea, aereum : a
aeripes|aeripe_s, aeripedis : a
aerius|a_erius, a_eria, a_erium : a
aerugo|aeru_go_, aeru_ginis : f
aerumna|aerumna, aerumnae : f
aerumnosus|aerumno_sus, aerumno_sa, aerumno_sum : a
aes|aes, aeris : n
aesculus|aesculus, aesculi_ : f
aestas|aesta_s, aesta_tis : f
aestifer|aestifer, aestifera, aestiferum : a
aestimabilis|aestima_bilis, aestima_bile : a
aestimatio|aestima_tio_, aestima_tio_nis : f
aestimator|aestima_tor, aestima_to_ris : m
aestimo|aestimo_, aestima_re, aestima_vi_, aestima_tum : v1
aestiva|aesti_va, aesti_vo_rum : npl
aestivo|aesti_vo_, aesti_va_re, aesti_va_vi_, aesti_va_tum : v1
aestivus|aesti_vus, aesti_va, aesti_vum : a
aestuarium|aestua_rium, aestua_r(i)i_ : n
aestuo|aestuo_, aestua_re, aestua_vi_, aestua_tum : v1
aestuosus|aestuo_sus, aestuo_sa, aestuo_sum : a
aestus|aestus, aestu_s : m
aetas|aeta_s, aeta_tis : f
aetatula|aeta_tula, aeta_tulae : f
aeternitas|aeternita_s, aeternita_tis : f
aeterno|aeterno_, aeterna_re, aeterna_vi_, aeterna_tum : v1
aeternus|aeternus, aeterna, aeternum : a
aether|aethe_r, aetheris : m
aetherius|aetherius, aetheria, aetherium : a
aethra|aethra, aethrae : f
aevum|aevum, aevi_ : n
affabilis|affa_bilis, affa_bile : a
affatim|affatim : adv
affatus|affa_tus, affa_tu_s : m
affectatio|affecta_tio_, affecta_tio_nis : f
affectio|affectio_, affectio_nis : f
affecto|affecto_, affecta_re, affecta_vi_, affecta_tum : v1
affectus|affectus, affectu_s : m
affectus|affectus, affecta, affectum : a
affero|affero_, afferre, attuli_, alla_tum : v5
afficio|afficio_, afficere, affe_ci_, affectum : v3
affigo|affi_go_, affi_gere, affi_xi_, affi_xum : v3
affingo|affingo_, affingere, affi_nxi_, affictum : v3
affinis|affi_nis, affi_ne : a
affinitas|affi_nita_s, affi_nita_tis : f
affirmatio|affirma_tio_, affirma_tio_nis : f
affirmo|affirmo_, affirma_re, affirma_vi_, affirma_tum : v1
afflatus|affla_tus, affla_tu_s : m
afflictatio|affli_cta_tio_, affli_cta_tio_nis : f
afflicto|affli_cto_, affli_cta_re, affli_cta_vi_, affli_cta_tum : v1
affligo|affli_go_, affli_gere, affli_xi_, affli_ctum : v3
afflo|afflo_, affla_re, affla_vi_, affla_tum : v1
affluenter|affluenter : adv
affluentia|affluentia, affluentiae : f
affluo|affluo_, affluere, afflu_xi_, afflu_xum : v3
affor|affor, affa_ri_, affa_tus sum : v1 dep
affulgeo|affulgeo_, affulge_re, affulsi_ : v2
affundo|affundo_, affundere, affu_di_, affu_sum : v3
agaso|aga_so_, aga_so_nis : m
age|age : int
agedum|agedum : int
agellus|agellus, agelli_ : m
ager|ager, agri_ : m
agger|agger, aggeris : m
aggero|aggero_, aggerere, aggessi_, aggestum : v3
aggero|aggero_, aggera_re, aggera_vi_, aggera_tum : v1
aggestus|aggestus, aggestu_s : m
agglomero|agglomero_, agglomera_re, agglomera_vi_, agglomera_tum : v1
agglutino|agglu_ti_no_, agglu_ti_na_re, agglu_ti_na_vi_, agglu_ti_na_tum : v1
aggravo|aggravo_, aggrava_re, aggrava_vi_, aggrava_tum : v1
aggredior|aggredior, aggredi_, aggressus sum : v3 dep
aggrego|aggrego_, aggrega_re, aggrega_vi_, aggrega_tum : v1
agilis|agilis, agile : a
agilitas|agilita_s, agilita_tis : f
agitatio|agita_tio_, agita_tio_nis : f
agitator|agita_tor, agita_to_ris : m
agito|agito_, agita_re, agita_vi_, agita_tum : v1
agmen|agmen, agminis : n
agna|agna, agnae : f
agnatus|agna_tus, agna_ti_ : m
agnina|agni_na, agni_nae : f
agnomen|agno_men, agno_minis : n
agnosco|agno_sco_, agno_scere, agno_vi_, agnitum : v3
agnus|agnus, agni_ : m
ago|ago_, agere, e_gi_, a_ctum : v3
agrarius|agra_rius, agra_ria, agra_rium : a
agrestis|agrestis, agreste : a
agricola|agricola, agricolae : m
aheneus|ahe_neus, ahe_nea, ahe_neum : a
ahenus|ahe_nus, ahe_na, ahe_num : a
ai|ai : int
aio|a_io_ : v5
ala|a_la, a_lae : f
alacer|alacer, alacris, alacre : a
alacritas|alacrita_s, alacrita_tis : f
alaris|a_la_ris, a_la_re : a
alarius|a_la_rius, a_la_ria, a_la_rium : a
alatus|a_la_tus, a_la_ta, a_la_tum : a
alauda|alauda, alaudae : f
albatus|alba_tus, alba_ta, alba_tum : a
albeo|albeo_, albe_re : v2
albesco|albe_sco_, albe_scere : v3
albico|albico_, albica_re, albica_vi_, albica_tum : v1
albidus|albidus, albida, albidum : a
album|album, albi_ : n
albus|albus, alba, album : a
alcedo|alce_do_, alce_dinis : f
alcedonia|alce_donia, alce_donio_rum : npl
alcyon|alcyo_n, alcyonis : f
alea|a_lea, a_leae : f
aleator|a_lea_tor, a_lea_to_ris : m
aleatorius|a_lea_to_rius, a_lea_to_ria, a_lea_to_rium : a
aleo|a_leo_, a_leo_nis : m
ales|a_les, a_litis : m/f
ales|a_les, a_litis : a
alga|alga, algae : f
algeo|algeo_, alge_re, alsi_ : v2
algor|algor, algo_ris : m
alia|alia_ : adv
alias|alia_s : adv
alibi|alibi_ : adv
alicubi|alicubi : adv
alicunde|alicunde : adv
alienatio|alie_na_tio_, alie_na_tio_nis : f
alienigena|alie_nigena, alie_nigenae : m
alieno|alie_no_, alie_na_re, alie_na_vi_, alie_na_tum : v1
alienus|alie_nus, alie_na, alie_num : a
aliger|a_liger, a_ligera, a_ligerum : a
alimentum|alimentum, alimenti_ : n
alio|alio_ : adv
alioqui|alio_qui_ : adv
alioquin|alio_qui_n : adv
alipes|a_lipe_s, a_lipedis : a
aliqua|aliqua_ : adv
aliquamdiu|aliquamdiu_ : adv
aliquando|aliquando_ : adv
aliquanto|aliquanto_ : adv
aliquantus|aliquantus, aliquanta, aliquantum : a
aliqui|aliqui_, aliquae, aliquod : a
aliquis|aliquis, aliquid : pn
aliquo|aliquo_ : adv
aliquot|aliquot : a indec
